Ticket_ID,Ticket_Type,Category,Auto_Tags,Tag_Count
TKT-00001,General Inquiry,Performance,performance,1
TKT-00002,Bug Report,Integration,"bug, integration",2
TKT-00003,Account Access,UI/UX,password_reset,1
TKT-00004,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00005,General Inquiry,Integration,integration,1
TKT-00006,Bug Report,Integration,"bug, integration",2
TKT-00007,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00008,Bug Report,Performance,"bug, performance",2
TKT-00009,General Inquiry,Payment,billing,1
TKT-00010,Billing Question,Documentation,billing,1
TKT-00011,Billing Question,Integration,"billing, integration",2
TKT-00012,General Inquiry,Authentication,password_reset,1
TKT-00013,Bug Report,Authentication,"password_reset, bug",2
TKT-00014,Technical Issue,Performance,"bug, performance",2
TKT-00015,Bug Report,Integration,"bug, integration",2
TKT-00016,Feature Request,Integration,"feature_request, integration",2
TKT-00017,Bug Report,Payment,"billing, bug",2
TKT-00018,General Inquiry,UI/UX,general,0
TKT-00019,Account Access,Payment,"password_reset, billing",2
TKT-00020,Technical Issue,Authentication,"password_reset, bug",2
TKT-00021,Bug Report,Authentication,"password_reset, bug",2
TKT-00022,Technical Issue,UI/UX,bug,1
TKT-00023,Technical Issue,Authentication,"password_reset, bug",2
TKT-00024,Bug Report,Documentation,bug,1
TKT-00025,Bug Report,Authentication,"password_reset, bug",2
TKT-00026,Billing Question,Integration,"billing, integration",2
TKT-00027,Bug Report,UI/UX,bug,1
TKT-00028,Bug Report,Authentication,"password_reset, bug",2
TKT-00029,Billing Question,Payment,billing,1
TKT-00030,Billing Question,Integration,"billing, integration",2
TKT-00031,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00032,Bug Report,UI/UX,bug,1
TKT-00033,Feature Request,Performance,"feature_request, performance",2
TKT-00034,Technical Issue,Payment,"billing, bug",2
TKT-00035,General Inquiry,Performance,performance,1
TKT-00036,Billing Question,Data Loss,"billing, data_issue",2
TKT-00037,General Inquiry,Data Loss,data_issue,1
TKT-00038,Bug Report,Authentication,"password_reset, bug",2
TKT-00039,Feature Request,Documentation,feature_request,1
TKT-00040,Technical Issue,Authentication,"password_reset, bug",2
TKT-00041,Bug Report,UI/UX,bug,1
TKT-00042,Feature Request,Documentation,feature_request,1
TKT-00043,Technical Issue,Data Loss,"bug, data_issue",2
TKT-00044,Feature Request,Documentation,feature_request,1
TKT-00045,Billing Question,Integration,"billing, integration",2
TKT-00046,Bug Report,Documentation,bug,1
TKT-00047,Feature Request,Integration,"feature_request, integration",2
TKT-00048,Feature Request,Payment,"billing, feature_request",2
TKT-00049,Bug Report,Performance,"bug, performance",2
TKT-00050,Technical Issue,UI/UX,bug,1
TKT-00051,Bug Report,Integration,"bug, integration",2
TKT-00052,Feature Request,Integration,"feature_request, integration",2
TKT-00053,General Inquiry,Data Loss,data_issue,1
TKT-00054,Account Access,Performance,"password_reset, performance",2
TKT-00055,General Inquiry,Data Loss,data_issue,1
TKT-00056,Technical Issue,Performance,"bug, performance",2
TKT-00057,Feature Request,Documentation,feature_request,1
TKT-00058,Account Access,Documentation,password_reset,1
TKT-00059,Technical Issue,Data Loss,"bug, data_issue",2
TKT-00060,General Inquiry,Data Loss,data_issue,1
TKT-00061,Billing Question,Authentication,"password_reset, billing",2
TKT-00062,Bug Report,Documentation,bug,1
TKT-00063,Technical Issue,Authentication,"password_reset, bug",2
TKT-00064,Technical Issue,Integration,"bug, integration",2
TKT-00065,Feature Request,Authentication,"password_reset, feature_request",2
TKT-00066,Account Access,Integration,"password_reset, integration",2
TKT-00067,General Inquiry,Integration,integration,1
TKT-00068,Technical Issue,Performance,"bug, performance",2
TKT-00069,Bug Report,Documentation,bug,1
TKT-00070,Technical Issue,Integration,"bug, integration",2
TKT-00071,Technical Issue,Integration,"bug, integration",2
TKT-00072,Feature Request,Integration,"feature_request, integration",2
TKT-00073,Technical Issue,Authentication,"password_reset, bug",2
TKT-00074,Account Access,Authentication,password_reset,1
TKT-00075,Feature Request,Payment,"billing, feature_request",2
TKT-00076,Billing Question,Data Loss,"billing, data_issue",2
TKT-00077,Billing Question,UI/UX,billing,1
TKT-00078,General Inquiry,Documentation,general,0
